NAME                    READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS   IMAGES                          SELECTOR
adservice               1/3     3            1           5h38m   server       adservice                       app=adservice
cartservice             3/3     3            3           5h38m   server       cartservice                     app=cartservice
checkoutservice         3/3     3            3           5h38m   server       checkoutservice                 app=checkoutservice
currencyservice         3/3     3            3           5h38m   server       currencyservice                 app=currencyservice
emailservice            3/3     3            3           5h38m   server       emailservice                    app=emailservice
envoy-grpc-lb           1/1     1            1           47s     envoy        envoyproxy/envoy:v1.33-latest   app=envoy-grpc-lb
frontend                3/3     3            3           5h38m   server       frontend                        app=frontend
loadgenerator           0/0     0            0           5h38m   main         loadgenerator                   app=loadgenerator
paymentservice          3/3     3            3           5h38m   server       paymentservice                  app=paymentservice
productcatalogservice   3/3     3            3           5h38m   server       productcatalogservice           app=productcatalogservice
recommendationservice   3/3     3            3           5h38m   server       recommendationservice           app=recommendationservice
redis-cart              1/1     1            1           5h38m   redis        redis:alpine                    app=redis-cart
shippingservice         3/3     3            3           5h38m   server       shippingservice                 app=shippingservice
